company,issuer_name,fund,registrant,series_id,cik,accession,report_date,units,balance,val_usd,price_per_share,pct_val,asset_cat,fair_val_level,restricted,cusip
Ramp,Ramp Business Corp.,"FUNDRISE INNOVATION FUND, LLC","FUNDRISE INNOVATION FUND, LLC",,1867090,0001867090-26-000054,2026-03-31,NS,26400.00000000,2376000.00000000,90.0000,0.349968570553,,3,Y,N/A
Ramp,Ramp Business Corp.,"FUNDRISE INNOVATION FUND, LLC","FUNDRISE INNOVATION FUND, LLC",,1867090,0001867090-26-000054,2026-03-31,NS,148500.00000000,13365000.00000000,90.0000,1.968573209362,,3,Y,N/A
Ramp,Ramp Business Corp.,"FUNDRISE INNOVATION FUND, LLC","FUNDRISE INNOVATION FUND, LLC",,1867090,0001867090-26-000054,2026-03-31,NS,133333.00000000,11999970.00000000,90.0000,1.767513614302,,3,Y,N/A
Ramp,Ramp Business Corporation (Class A Common Stock),Robinhood Ventures Fund I,Robinhood Ventures Fund I,,2085091,0000894189-26-016653,2026-03-31,NS,115402,10386180,90.0000,1.5849118409,EC,3,Y,N/A
Ramp,Ramp Business Corporation (Series E-3 Preferred Stock),Robinhood Ventures Fund I,Robinhood Ventures Fund I,,2085091,0000894189-26-016653,2026-03-31,NS,162375,14613750,90.0000,2.2300311968,EP,3,Y,N/A
Ramp,Ramp Business Corp CL A Common PP,"T. Rowe Price Science & Technology Fund, Inc.","T. ROWE PRICE SCIENCE & TECHNOLOGY FUND, INC.",S000002119,819930,0001099263-26-006576,2026-03-31,NS,13848.000000,1246320.000000,90.0000,0.0116095854,EC,3,Y,000000000
Ramp,Ramp Business Corp SER E-3 CVT PFD PP,"T. Rowe Price Science & Technology Fund, Inc.","T. ROWE PRICE SCIENCE & TECHNOLOGY FUND, INC.",S000002119,819930,0001099263-26-006576,2026-03-31,NS,19485.000000,1753650.000000,90.0000,0.0163354109,EP,3,Y,000000000
Ramp,Ramp Business Corp.,"FUNDRISE GROWTH TECH FUND, LLC","FUNDRISE GROWTH TECH FUND, LLC",,1867090,0001867090-26-000014,2025-12-31,NS,26400.00000000,2376000.00000000,90.0000,0.543165009337,,3,Y,N/A
Ramp,Ramp Business Corp.,"FUNDRISE GROWTH TECH FUND, LLC","FUNDRISE GROWTH TECH FUND, LLC",,1867090,0001867090-26-000014,2025-12-31,NS,148500.00000000,13365000.00000000,90.0000,3.055303177524,,3,Y,N/A
Ramp,Ramp Business Corp.,"FUNDRISE GROWTH TECH FUND, LLC","FUNDRISE GROWTH TECH FUND, LLC",,1867090,0001867090-26-000014,2025-12-31,NS,133333.00000000,11999970.00000000,90.0000,2.743250764773,,3,Y,N/A
Ramp,RAMP PREFERRED SERIES A-2   /,First Trust Alternative Opportunities Fund,First Trust Alternative Opportunities Fund,,1681717,0000926877-26-000093,2025-12-31,NS,89839,8085510,90.0000,0.2436229195,EP,3,N,999999999
Ramp,RAMP PREFERRED SERIES C-3   /,First Trust Alternative Opportunities Fund,First Trust Alternative Opportunities Fund,,1681717,0000926877-26-000093,2025-12-31,NS,59684,5371560,90.0000,0.1618494231,EP,3,N,999999999
