company,date,n_funds,min,median,max,maxmin,spread_pct,cv_pct,n_families
Discord,2026-03-31,8,22.28,22.28,34.0599978143868,1.5287252160855833,52.87252160855833,17.931436371988678,3
Anthropic,2026-04-30,14,259.13639684106613,333.6,361.34999999999997,1.394439393326996,39.44393933269961,13.023264929754951,3
Revolut,2026-04-30,11,1110.3139819944597,1495.97,1495.97,1.347339603265002,34.7339603265002,7.959397616579899,2
Epic Games,2026-03-31,7,447.25,465.16,594.26,1.3286975964225824,32.869759642258245,10.376725280841395,5
Gusto,2026-03-31,8,16.17975800431371,21.4,21.400000000000002,1.3226403011895798,32.264030118957976,9.577569049051672,3
Databricks,2026-04-30,12,171.92999999999998,175.3,198.00512925899451,1.1516613113417935,15.16613113417935,5.403542588908512,6
Plaid,2026-03-31,4,251.11272431151912,266.76636251912294,282.42,1.1246741907416946,12.467419074169461,6.775690787313874,3
Canva,2026-03-31,5,1496.4199999999998,1496.42,1646.1399999999999,1.1000521244035766,10.005212440357658,4.386687547547875,2
Anduril,2026-03-31,7,63.739999999999995,63.74,66.03,1.0359272042673362,3.59272042673362,1.3509868000842686,2
Stripe,2026-03-31,8,63.0,63.0,63.8650000043486,1.013730158799184,1.3730158799184045,0.48035940444633407,4
OpenAI,2026-04-30,13,687.6868999488229,687.6869008594844,687.69,1.000004507939845,0.00045079398449665575,0.0002226251471321489,6
Fanatics,2026-04-30,2,50.0,50.0,50.0,1.0,0.0,0.0,1
Ramp,2026-03-31,2,90.0,90.0,90.0,1.0,0.0,0.0,2
