company,dt,fund,house,lines,lo_line,hi_line,balance,val_usd,net_assets,SERIES_ID,REGISTRANT_NAME,own_pps,one_price,n_houses,n_funds,spread_pct,consensus_pps,house_pps,repriced_usd,wedge_usd,wedge_bps,own_vs_consensus_pct,position_pct_of_nav
NM:1STDIBS,2019-09-30,S000002079,T. Rowe Price,1,5.011008928571428,5.011008928571428,1120.0,5612.33,177625794.56,S000002079,"T. ROWE PRICE EQUITY SERIES, INC.",5.011008928571428,True,2,5,8.509299709302809e-07,5.011009978150618,5.01100999947071,5612.331175528692,-0.0011755286923289532,-6.618006665309372e-08,-2.094546197595193e-05,0.0031596368162081423
NM:1STDIBS,2019-09-30,S000002094,T. Rowe Price,1,5.01100999889788,5.01100999889788,526258.0,2637084.1,5297716679.46,S000002094,"T. ROWE PRICE INSTITUTIONAL EQUITY FUNDS, INC.",5.01100999889788,True,2,5,8.509299709302809e-07,5.011009978150618,5.01100999947071,2637084.0890815877,0.01091841235756874,2.0609656986567398e-08,4.140335407853968e-07,0.04977774878419508
NM:1STDIBS,2019-09-30,S000002106,T. Rowe Price,1,5.011010000043542,5.011010000043542,5282277.0,26469542.87,26185555603.83,S000002106,"T. ROWE PRICE NEW HORIZONS FUND, INC.",5.011010000043542,True,2,5,8.509299709302809e-07,5.011009978150618,5.01100999947071,26469542.754355513,0.11564448848366737,4.416346562711572e-08,4.368964301448841e-07,0.10108451877235884
NM:1STDIBS,2019-09-30,S000002120,T. Rowe Price,1,5.011010001062843,5.011010001062843,1063187.0,5327640.69,9934696481.86,S000002120,"T. ROWE PRICE SMALL-CAP STOCK FUND, INC.",5.011010001062843,True,2,5,8.509299709302809e-07,5.011009978150618,5.01100999947071,5327640.665640021,0.024359979666769505,2.452010457616795e-08,4.572376699485403e-07,0.05362660751365546
NM:1STDIBS,2019-09-30,S000061111,MassMutual,1,5.011009956830525,5.011009956830525,28724.0,143936.25,632661705.69,S000061111,MASSMUTUAL SELECT FUNDS,5.011009956830525,True,2,5,8.509299709302809e-07,5.011009978150618,5.011009956830525,143936.25061239835,-0.0006123983475845307,-9.679712586944558e-09,-4.254649965673707e-07,0.02275090284514988
NM:1STDIBS,2019-12-31,S000002079,T. Rowe Price,1,5.011008928571428,5.011008928571428,1120.0,5612.33,184626205.14,S000002079,"T. ROWE PRICE EQUITY SERIES, INC.",5.011008928571428,True,2,5,8.509299709302809e-07,5.011009978150618,5.01100999947071,5612.331175528692,-0.0011755286923289532,-6.367073901765802e-08,-2.094546197595193e-05,0.003039833915095765
NM:1STDIBS,2019-12-31,S000002094,T. Rowe Price,1,5.01100999889788,5.01100999889788,526258.0,2637084.1,5644876288.91,S000002094,"T. ROWE PRICE INSTITUTIONAL EQUITY FUNDS, INC.",5.01100999889788,True,2,5,8.509299709302809e-07,5.011009978150618,5.01100999947071,2637084.0890815877,0.01091841235756874,1.934216411264708e-08,4.140335407853968e-07,0.0467164197235084
NM:1STDIBS,2019-12-31,S000002106,T. Rowe Price,1,5.011010000043542,5.011010000043542,5282277.0,26469542.87,27921449382.57,S000002106,"T. ROWE PRICE NEW HORIZONS FUND, INC.",5.011010000043542,True,2,5,8.509299709302809e-07,5.011009978150618,5.01100999947071,26469542.754355513,0.11564448848366737,4.141779565206188e-08,4.368964301448841e-07,0.09480003171512882
NM:1STDIBS,2019-12-31,S000002120,T. Rowe Price,1,5.011010001062843,5.011010001062843,1063187.0,5327640.69,10501111431.65,S000002120,"T. ROWE PRICE SMALL-CAP STOCK FUND, INC.",5.011010001062843,True,2,5,8.509299709302809e-07,5.011009978150618,5.01100999947071,5327640.665640021,0.024359979666769505,2.3197525162288384e-08,4.572376699485403e-07,0.05073406490995485
NM:1STDIBS,2019-12-31,S000061111,MassMutual,1,5.011009956830525,5.011009956830525,28724.0,143936.25,703878944.32,S000061111,MASSMUTUAL SELECT FUNDS,5.011009956830525,True,2,5,8.509299709302809e-07,5.011009978150618,5.011009956830525,143936.25061239835,-0.0006123983475845307,-8.700336222958815e-09,-4.254649965673707e-07,0.020449006347114593
