company,security,acquired,acquired_last,lots_spanned,cost,value,markup_pct,shares,in_thousands,doc,cost_per_share,mark_per_share,filer,cik,adsh,form,file_date,period
Anthropic,"Anthropic  PBC, Series G",3/31/26,3/31/26,1,519050.0,519050.0,0.0,,False,https://www.sec.gov/Archives/edgar/data/92751/000113322826009583/afii-efp25653_ncsrs.htm,,,ALGER FUNDS II  (CIK 0000092751),0000092751,0001133228-26-009583,N-CSRS,2026-06-25,2026-04-30
Anthropic,"Anthropic  PBC, Series G",3/31/26,3/31/26,1,614153.0,614153.0,0.0,,False,https://www.sec.gov/Archives/edgar/data/3521/000113322826009580/af-efp25652_ncsrs.htm,,,ALGER FUNDS  (CIK 0000003521),0000003521,0001133228-26-009580,N-CSRS,2026-06-25,2026-04-30
Anthropic,"Anthropic  PBC, Series G",3/31/26,3/31/26,1,2118440.0,2118440.0,0.0,,False,https://www.sec.gov/Archives/edgar/data/92751/000113322826009583/afii-efp25653_ncsrs.htm,,,ALGER FUNDS II  (CIK 0000092751),0000092751,0001133228-26-009583,N-CSRS,2026-06-25,2026-04-30
Anthropic,"Anthropic  PBC, Series G",3/31/26,3/31/26,1,7771760.0,7771760.0,0.0,,False,https://www.sec.gov/Archives/edgar/data/3521/000113322826009580/af-efp25652_ncsrs.htm,,,ALGER FUNDS  (CIK 0000003521),0000003521,0001133228-26-009580,N-CSRS,2026-06-25,2026-04-30
Anthropic,"Anthropic  PBC, Series G",3/31/26,3/31/26,1,9510306.0,9510306.0,0.0,,False,https://www.sec.gov/Archives/edgar/data/911415/000113322826009585/aif-efp25654_ncsrs.htm,,,ALGER INSTITUTIONAL FUNDS  (CIK 0000911415),0000911415,0001133228-26-009585,N-CSRS,2026-06-25,2026-04-30
Anthropic,"Anthropic  PBC, Series G",3/31/26,3/31/26,1,44167985.0,44167985.0,0.0,,False,https://www.sec.gov/Archives/edgar/data/911415/000113322826009585/aif-efp25654_ncsrs.htm,,,ALGER INSTITUTIONAL FUNDS  (CIK 0000911415),0000911415,0001133228-26-009585,N-CSRS,2026-06-25,2026-04-30
Anthropic,Anthropic - Preferred Stocks,8/18/2025,8/18/2025,1,33000.0,33000.0,0.0,,False,https://www.sec.gov/Archives/edgar/data/1217286/000119312526085171/d86821dncsrs.htm,,,JPMorgan Trust I  (CIK 0001217286),0001217286,0001193125-26-085171,N-CSRS,2026-03-02,2025-12-31
Anthropic,Anthropic - Preferred Stocks,8/18/2025,8/18/2025,1,33000.0,33000.0,0.0,,False,https://www.sec.gov/Archives/edgar/data/763852/000119312526085172/d29290dncsrs.htm,,,JPMORGAN TRUST II  (CIK 0000763852),0000763852,0001193125-26-085172,N-CSRS,2026-03-02,2025-12-31
Anthropic,Anthropic - Preferred Stocks,8/18/2025,8/18/2025,1,33000.0,33000.0,0.0,,False,https://www.sec.gov/Archives/edgar/data/803747/000119312526085179/d884187dncsrs.htm,,,JP MORGAN MUTUAL FUND INVESTMENT TRUST  (CIK 0000803747),0000803747,0001193125-26-085179,N-CSRS,2026-03-02,2025-12-31
Anthropic,Anthropic - Preferred Stocks,8/18/2025,8/18/2025,1,33000.0,33000.0,0.0,,False,https://www.sec.gov/Archives/edgar/data/1037897/000119312526085182/d910837dncsrs.htm,,,JP MORGAN FLEMING MUTUAL FUND GROUP INC  (CIK 0001037897),0001037897,0001193125-26-085182,N-CSRS,2026-03-02,2025-12-31
Anthropic,"Anthropic PBC, Class F, preferred shares (a)(c)",8/29/2025,8/29/2025,1,48913000.0,48913000.0,0.0,,True,https://www.sec.gov/Archives/edgar/data/719608/000119312526031021/8de5d4403410d85.htm,,,NEW ECONOMY FUND  (CIK 0000719608),0000719608,0001193125-26-031021,N-CSR,2026-01-30,2025-11-30
Anthropic,"Anthropic,  Inc., Series C-1*(a)(b)",3/31/23,3/31/23,1,1049998.0,1216806.0,15.88650645048848,89078.0,False,https://www.sec.gov/Archives/edgar/data/1905088/000101376223002458/ea160399_ncsr.htm,11.787399806910797,13.660005837580547,Ark Venture Fund  (CIK 0001905088),0001905088,0001013762-23-002458,N-CSR,2023-10-06,2023-07-31
Anthropic,"Anthropic,  PBC, Class F, preferred shares (a)(b)",8/29/2025,8/29/2025,1,86525000.0,154007000.0,77.99133198497543,,True,https://www.sec.gov/Archives/edgar/data/67160/000113322826003098/msif-efp21121_ncsr.htm,,,MML SERIES INVESTMENT FUND  (CIK 0000067160),0000067160,0001133228-26-003098,N-CSR,2026-03-05,2025-12-31
Anthropic,"Anthropic, Inc., Series C-1*(a)(b)",3/31/23,3/31/23,1,1049998.0,2672340.0,154.50905620772613,89078.0,False,https://www.sec.gov/Archives/edgar/data/1905088/000121390024086293/ea0212303-01_ncsr.htm,11.787399806910797,30.0,ARK Venture Fund  (CIK 0001905088),0001905088,0001213900-24-086293,N-CSR,2024-10-08,2024-07-31
Anthropic,"Anthropic, Inc., Series C-1*(a)(b)",3/31/23,3/31/23,1,1049998.0,4359477.0,315.189076550622,89078.0,False,https://www.sec.gov/Archives/edgar/data/1905088/000121390024029849/ea0200726-01_ncsrs.htm,11.787399806910797,48.93999640764274,Ark Venture Fund  (CIK 0001905088),0001905088,0001213900-24-029849,N-CSRS,2024-04-03,2024-01-31
