quarter,fund_mark_index
2021Q4,100.0
2022Q1,92.11919742276613
2022Q2,65.15433370194917
2022Q3,63.58452008314408
2022Q4,46.82955572747986
2023Q1,40.22469865396923
2023Q2,41.95262172474864
2023Q3,47.271585980651764
2023Q4,50.580550191069506
2024Q1,51.759936079312894
2024Q2,50.67550679017502
2024Q3,52.52480960778262
2024Q4,56.25374696642464
2025Q1,61.29334418307019
2025Q2,64.33384158945522
2025Q3,70.26575319883118
2025Q4,78.66547871941003
2026Q1,96.47829526363729
